carbody,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,brand,fueltype_gas,aspiration_turbo,doornumber_two,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,price
2,0.04509322891113132,0.24858539270771648,-0.06926837034686309,-0.6228956041529538,0.06512740493888089,3,4,0.4728146435139083,5,1.0975035321330504,0.8483889767505558,0.6390306377770052,0.24325087413683752,-0.9220737677444207,-0.10649196073872179,-0.04878459396111712,32,True,False,True,False,True,False,-0.3781079494892028
3,-0.6515826738593575,-0.6512035938209306,-0.9396973260262836,0.41751326880023926,-1.1617452457411555,3,4,-0.6830819971154282,1,-0.6505809543840546,0.1872071964745477,0.7843005664925928,-0.9285310375638838,0.0006234440620307057,1.0056619840729315,1.021995900609169,18,True,False,False,True,False,False,-0.7724415721797229
2,-0.6515826738593575,-0.37053546958263833,-0.8429829976174575,-0.3731974746441869,-0.6293665751361152,3,4,-0.6594922697556458,1,-0.5018078065953647,-0.6313988172005107,0.20322085163023965,-0.9035995075276982,-0.9220737677444207,0.6879037141267449,0.5630899743647606,32,True,False,True,False,True,False,-0.5980054569194897
3,-0.7944905513507391,-1.3115991802639757,-0.9396973260262836,-1.2055245730067414,-1.0596726434822943,3,4,-0.8482100886339048,1,-1.3200601194331574,-0.0017018836043119346,0.7843005664925928,-0.9534625676000693,0.6926463529168693,1.0056619840729315,1.1749645426906383,9,True,False,False,True,False,False,-0.6769977654138646
0,0.04509322891113132,0.24858539270771648,-0.06926837034686309,-0.20673205497167657,0.9137310001890202,3,4,0.4728146435139083,5,1.0975035321330504,0.8483889767505558,0.6390306377770052,0.24325087413683752,-0.9220737677444207,-0.10649196073872179,-0.04878459396111712,32,True,False,True,False,True,False,0.5863768346710502
3,1.099038825410073,1.2887084413555143,0.7044462569237383,1.1249913024084117,0.8336740572408938,3,4,0.3548660067149964,5,1.6925961232878082,-0.2535806570427915,0.9295704952081805,0.1933878140644664,0.4619720499652564,-0.10649196073872179,-0.354721878124056,11,True,False,False,False,True,False,0.37489345231091137
1,-1.5447569081804957,-0.35402557992156075,-0.3594113555733343,-0.7893610238254641,0.47541923754802845,4,6,1.6051215567834625,5,1.54382297549912,-1.0407018240380392,0.9295704952081805,2.5120201074297235,1.6153435647233207,-1.218645905550375,-0.8136278043684643,5,True,False,True,False,True,True,2.640804775306152
2,-0.40149388824943777,0.0009370477915745632,0.26923177908402457,-1.3719899926792516,0.8156612450775654,3,4,0.7087119171117321,6,0.9859236712915322,1.9818434572237122,-2.702177722681524,0.9662652451862187,-0.460725161841195,-0.9008876356041885,-0.9665964464499337,13,True,True,True,True,False,False,0.18701985372969543
4,-0.29431298013090224,-1.3281090699250533,-0.8913401618218706,1.9989347556890915,-0.9896228184026837,3,4,-0.80103063391434,0,-1.5060265541690205,0.5650253566322669,0.49376070906141495,-0.7540103273105848,1.8460178676749335,0.8467828490998383,0.5630899743647606,13,True,False,False,True,False,False,-0.7164311276829165
2,-0.8659444900964312,-1.3115991802639757,-0.9396973260262836,0.9169095278177731,-0.5573153264828015,4,4,-0.42359499615782203,1,1.0975035321330504,-1.8593078377130963,-0.23258893451652587,-0.8288049174191415,-1.8447709795508722,0.2112663092074649,0.10418404812035231,12,True,False,True,False,False,False,-0.6777512691514898
2,-0.7944905513507391,-1.3115991802639757,-0.9396973260262836,-1.1222918631704877,-1.2858335073107512,3,4,-0.8482100886339048,1,-1.3200601194331574,-0.0017018836043119346,0.7843005664925928,-0.9534625676000693,0.6926463529168693,1.0056619840729315,1.1749645426906383,9,True,False,True,True,False,False,-0.8317171995395718
2,-0.7944905513507391,-1.3115991802639757,-0.9396973260262836,-1.2055245730067414,-1.1037039621037639,3,4,-0.8482100886339048,1,-1.3200601194331574,-0.0017018836043119346,0.7843005664925928,-0.9534625676000693,0.6926463529168693,1.0056619840729315,1.1749645426906383,7,True,False,False,True,False,False,-0.85030362506766
2,0.17013762171608865,1.1070996550836756,0.3659461074928506,1.0833749474902834,0.3773494824365737,3,4,-0.11692854048065111,5,-2.9193714581615726,-3.6539440984622624,0.6390306377770052,0.09366169391972416,0.11596059553783714,-0.5831293656580018,-0.354721878124056,6,True,False,True,True,False,False,0.25621661363494275
1,-1.5447569081804957,-0.35402557992156075,-0.3594113555733343,-0.7893610238254641,0.47541923754802845,4,6,1.6051215567834625,5,1.54382297549912,-1.0407018240380392,0.9295704952081805,2.5120201074297235,1.6153435647233207,-1.218645905550375,-0.8136278043684643,5,True,False,True,False,True,True,2.4524288408998522
3,0.5452708001309682,0.29811506169094676,-0.45612568398216036,0.3342805589639826,-0.24709467255881187,3,4,-0.42359499615782203,5,0.6511840887669809,-1.3555502908361388,-0.08731900580093566,-0.13072207640594588,1.3846692617717078,-0.2653710957118151,-0.20175323604258655,8,True,False,False,False,True,False,0.4929423712055257
4,1.099038825410073,1.2887084413555143,0.7044462569237383,1.666003916344071,1.277990090602995,3,4,0.09537900575739028,5,1.0975035321330504,-0.2535806570427915,-1.975828079103583,1.3901012558013732,-0.23005085888958215,-1.218645905550375,-1.2725337306128726,11,True,True,False,False,True,False,0.7472498826540299
2,-0.43722085762228385,-0.5686541455155499,-0.6495543407998056,-0.2899647648079332,-0.8195018146379153,3,4,-0.6594922697556458,1,-0.5018078065953647,-0.6313988172005107,0.20322085163023965,-0.9035995075276982,-0.9220737677444207,0.8467828490998383,1.021995900609169,32,True,False,False,True,False,False,-0.7286127714411905
